agent_id,item_id,domain,subdomain,tier,n_reps,n_successes,s,y,total_prompt_tokens,total_completion_tokens,total_reasoning_tokens,total_latency_s,mean_latency_s,n_partial,n_fail,n_yes,n_no,n_null,n_empty_response,s_partial_weighted,grader_type
gemma-3-4b-free,AF-TOL-1,AF,TOL,1,5,5,1.0,2,375,0,0,8.682,1.736,0,0,0,0,0,0,1.0,
gemma-3-4b-free,CM-REC-1,CM,REC,1,4,4,1.0,2,384,0,0,5.253,1.051,0,0,0,0,1,0,1.0,
gemma-3-4b-free,AF-PLN-4,,,0,5,0,0.0,0,510,0,0,16.586,3.317,0,0,0,0,0,0,0.0,
gemma-3-4b-free,CM-EXP-3,CM,EXP,1,5,5,1.0,2,255,0,0,13.897,2.779,0,0,0,0,0,0,1.0,
gemma-3-4b-free,DLS-DOM-2,DLS,DOM,2,5,0,0.0,0,225,0,0,9.56,1.912,0,0,0,0,0,0,0.0,
gemma-3-12b-free,AF-TOL-1,AF,TOL,1,3,3,1.0,2,225,0,0,9.009,1.802,0,0,0,0,2,0,1.0,
gemma-3-12b-free,DLS-DOM-2,DLS,DOM,2,3,0,0.0,0,135,0,0,8.691,1.738,0,0,0,0,2,0,0.0,
gemma-3-12b-free,CM-REC-1,CM,REC,1,5,5,1.0,2,480,0,0,15.287,3.057,0,0,0,0,0,0,1.0,
gemma-3-12b-free,CM-EXP-3,CM,EXP,1,3,3,1.0,2,153,0,0,20.334,4.067,0,0,0,0,2,0,1.0,
gemma-3-12b-free,AF-PLN-4,,,0,3,3,1.0,2,306,0,0,15.04,5.013,0,0,0,0,0,0,1.0,
gemma-3-27b-free,AF-TOL-1,AF,TOL,1,2,2,1.0,2,150,0,0,2.564,0.513,0,0,0,0,3,0,1.0,
gemma-3-27b-free,CM-REC-1,CM,REC,1,4,4,1.0,2,388,0,0,4.038,0.808,0,0,0,0,1,0,1.0,
gemma-3-27b-free,DLS-DOM-2,DLS,DOM,2,2,0,0.0,0,88,0,0,3.554,0.711,0,0,0,0,3,0,0.0,
gemma-3-27b-free,AF-PLN-4,,,0,3,3,1.0,2,309,0,0,8.042,2.681,0,0,0,0,0,0,1.0,
gemma-3-27b-free,CM-EXP-3,CM,EXP,1,3,3,1.0,2,150,0,0,13.259,2.652,0,0,0,0,2,0,1.0,
claude-opus-4-5,AF-CTX-4,AF,CTX,3,5,5,1.0,2,1380,443,0,16.23,3.246,0,0,0,0,0,0,1.0,
claude-opus-4-5,AF-TOL-5,AF,TOL,5,5,0,0.0,0,1335,1922,0,37.622,7.524,0,0,0,0,0,0,0.0,
